<<<<<<< HEAD
﻿Log file open, 04/25/17 19:02:14
LogInit:Display: Running engine for game: Zombie_Tower_Defense
LogPlatformFile: Not using cached read wrapper
LogInit:Display: RandInit(1619864873) SRandInit(1619864873).
LogTaskGraph: Started task graph with 5 named threads and 6 total threads with 1 sets of task threads.
LogStats: Stats thread started at 0.067914
LogPluginManager: Loaded Plugin Paper2D, From E:/2016 Install/UE_4.14/Engine/Plugins/2D/Paper2D/Paper2D.uplugin
LogPluginManager: Loaded Plugin LightPropagationVolume, From E:/2016 Install/UE_4.14/Engine/Plugins/Blendables/LightPropagationVolume/LightPropagationVolume.uplugin
LogPluginManager: Loaded Plugin BlankPlugin, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/BlankPlugin/BlankPlugin.uplugin
LogPluginManager: Loaded Plugin CodeLiteSourceCodeAccess, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/CodeLiteSourceCodeAccess/CodeLiteSourceCodeAccess.uplugin
LogPluginManager: Loaded Plugin GitSourceControl, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/GitSourceControl/GitSourceControl.uplugin
LogPluginManager: Loaded Plugin KDevelopSourceCodeAccess, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/KDevelopSourceCodeAccess/KDevelopSourceCodeAccess.uplugin
LogPluginManager: Loaded Plugin NullSourceCodeAccess, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/NullSourceCodeAccess/NullSourceCodeAccess.uplugin
LogPluginManager: Loaded Plugin OneSkyLocalizationService, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/OneSkyLocalizationService/OneSkyLocalizationService.uplugin
LogPluginManager: Loaded Plugin PerforceSourceControl, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/PerforceSourceControl/PerforceSourceControl.uplugin
LogPluginManager: Loaded Plugin SubversionSourceControl, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/SubversionSourceControl/SubversionSourceControl.uplugin
LogPluginManager: Loaded Plugin UObjectPlugin, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/UObjectPlugin/UObjectPlugin.uplugin
LogPluginManager: Loaded Plugin VisualStudioSourceCodeAccess, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/VisualStudioSourceCodeAccess/VisualStudioSourceCodeAccess.uplugin
LogPluginManager: Loaded Plugin XCodeSourceCodeAccess, From E:/2016 Install/UE_4.14/Engine/Plugins/Developer/XCodeSourceCodeAccess/XCodeSourceCodeAccess.uplugin
LogPluginManager: Loaded Plugin AudioCapture, From E:/2016 Install/UE_4.14/Engine/Plugins/Editor/AudioCapture/AudioCapture.uplugin
LogPluginManager: Loaded Plugin EpicSurvey, From E:/2016 Install/UE_4.14/Engine/Plugins/Editor/EpicSurvey/EpicSurvey.uplugin
LogPluginManager: Loaded Plugin MacGraphicsSwitching, From E:/2016 Install/UE_4.14/Engine/Plugins/Editor/MacGraphicsSwitching/MacGraphicsSwitching.uplugin
LogPluginManager: Loaded Plugin MobileLauncherProfileWizard, From E:/2016 Install/UE_4.14/Engine/Plugins/Editor/MobileLauncherProfileWizard/MobileLauncherProfileWizard.uplugin
LogPluginManager: Loaded Plugin PluginBrowser, From E:/2016 Install/UE_4.14/Engine/Plugins/Editor/PluginBrowser/PluginBrowser.uplugin
LogPluginManager: Loaded Plugin SpeedTreeImporter, From E:/2016 Install/UE_4.14/Engine/Plugins/Editor/SpeedTreeImporter/SpeedTreeImporter.uplugin
LogPluginManager: Loaded Plugin SuperSearchEditor, From E:/2016 Install/UE_4.14/Engine/Plugins/Editor/SuperSearchEditor/SuperSearchEditor.uplugin
LogPluginManager: Loaded Plugin AlembicImporter, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/AlembicImporter/AlembicImporter.uplugin
LogPluginManager: Loaded Plugin BlueprintStats, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/BlueprintStats/BlueprintStats.uplugin
LogPluginManager: Loaded Plugin CharacterAI, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/CharacterAI/CharacterAI.uplugin
LogPluginManager: Loaded Plugin CodeEditor, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/CodeEditor/CodeEditor.uplugin
LogPluginManager: Loaded Plugin CodeView, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/CodeView/CodeView.uplugin
LogPluginManager: Loaded Plugin HTML5Networking, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/HTML5Networking/HTML5Networking.uplugin
LogPluginManager: Loaded Plugin OSVR, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/OSVR/OSVR.uplugin
LogPluginManager: Loaded Plugin Phya, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/Phya/Phya.uplugin
LogPluginManager: Loaded Plugin SignificanceManager, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/SignificanceManager/SignificanceManager.uplugin
LogPluginManager: Loaded Plugin SimpleHMD, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/SimpleHMD/SimpleHMD.uplugin
LogPluginManager: Loaded Plugin StereoPanorama, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/StereoPanorama/StereoPanorama.uplugin
LogPluginManager: Loaded Plugin StructBox, From E:/2016 Install/UE_4.14/Engine/Plugins/Experimental/StructBox/StructBox.uplugin
LogPluginManager: Loaded Plugin AndroidMedia, From E:/2016 Install/UE_4.14/Engine/Plugins/Media/AndroidMedia/AndroidMedia.uplugin
LogPluginManager: Loaded Plugin AvfMedia, From E:/2016 Install/UE_4.14/Engine/Plugins/Media/AvfMedia/AvfMedia.uplugin
LogPluginManager: Loaded Plugin MediaPlayerEditor, From E:/2016 Install/UE_4.14/Engine/Plugins/Media/MediaPlayerEditor/MediaPlayerEditor.uplugin
LogPluginManager: Loaded Plugin WmfMedia, From E:/2016 Install/UE_4.14/Engine/Plugins/Media/WmfMedia/WmfMedia.uplugin
LogPluginManager: Loaded Plugin MessagingDebugger, From E:/2016 Install/UE_4.14/Engine/Plugins/Messaging/MessagingDebugger/MessagingDebugger.uplugin
LogPluginManager: Loaded Plugin TcpMessaging, From E:/2016 Install/UE_4.14/Engine/Plugins/Messaging/TcpMessaging/TcpMessaging.uplugin
LogPluginManager: Loaded Plugin UdpMessaging, From E:/2016 Install/UE_4.14/Engine/Plugins/Messaging/UdpMessaging/UdpMessaging.uplugin
LogPluginManager: Loaded Plugin LevelSequenceEditor, From E:/2016 Install/UE_4.14/Engine/Plugins/MovieScene/LevelSequenceEditor/LevelSequenceEditor.uplugin
LogPluginManager: Loaded Plugin MatineeToLevelSequence, From E:/2016 Install/UE_4.14/Engine/Plugins/MovieScene/MatineeToLevelSequence/MatineeToLevelSequence.uplugin
LogPluginManager: Loaded Plugin NetcodeUnitTest, From E:/2016 Install/UE_4.14/Engine/Plugins/NetcodeUnitTest/NetcodeUnitTest/NetcodeUnitTest.uplugin
LogPluginManager: Loaded Plugin NUTUnrealEngine4, From E:/2016 Install/UE_4.14/Engine/Plugins/NetcodeUnitTest/NUTUnrealEngine4/NUTUnrealEngine4.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystemGameCircle, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/Android/OnlineSubsystemGameCircle/OnlineSubsystemGameCircle.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystemGooglePlay, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/Android/OnlineSubsystemGooglePlay/OnlineSubsystemGooglePlay.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystemIOS, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/IOS/OnlineSubsystemIOS/OnlineSubsystemIOS.uplugin
LogPluginManager: Loaded Plugin OnlineFramework, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/OnlineFramework/OnlineFramework.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystem, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/OnlineSubsystem/OnlineSubsystem.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystemAmazon, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/OnlineSubsystemAmazon/OnlineSubsystemAmazon.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystemFacebook, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/OnlineSubsystemFacebook/OnlineSubsystemFacebook.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystemNull, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/OnlineSubsystemNull/OnlineSubsystemNull.uplugin
LogPluginManager: Loaded Plugin OnlineSubsystemOculus, From E:/2016 Install/UE_4.14/Engine/Plugins/Online/OnlineSubsystemOculus/OnlineSubsystemOculus.uplugin
